subject	rt	changetime	blocknum	success	onset	crossbar	duration	rt_deadline	trialnum
S001	0.2971	11.463	0	1	5.000	vbar	1.190	1.500	0
S001	0.3292	14.506	0	1	9.771	hbar	1.943	1.500	1
S001	0.7026	16.962	0	1	13.945	vbar	1.173	1.500	2
S001	0.4880	20.366	0	1	17.987	hbar	1.344	1.500	3
S001	0.3736	23.904	0	1	21.887	hbar	1.094	1.500	4
S001	0.2644	27.840	0	1	25.753	hbar	1.243	1.500	5
S001	0.4223	32.422	0	1	30.056	hbar	1.418	1.500	6
S001	0.9540	36.523	0	1	33.911	vbar	1.089	1.500	7
S001	0.4152	46.984	1	1	45.000	hbar	1.006	1.500	8
S001	0.3340	50.241	1	1	48.311	vbar	1.041	1.500	9
S001	0.3917	54.824	1	1	52.073	vbar	1.793	1.500	10
S001	0.3893	58.807	1	1	56.280	hbar	1.594	1.500	11
S001	0.3644	62.942	1	1	60.408	vbar	1.586	1.500	12
S001	0.4173	68.662	1	1	64.454	hbar	3.217	1.500	13
S001	0.4535	71.847	1	1	69.700	hbar	1.163	1.500	14
S001	0.3589	75.913	1	1	73.230	hbar	1.770	1.500	15
S001	0.4213	87.202	2	1	85.000	hbar	1.230	1.500	16
S001	0.3368	91.595	2	1	89.386	vbar	1.316	1.500	17
S001	0.3602	94.940	2	1	92.774	vbar	1.273	1.500	18
S001	0.3721	99.373	2	1	96.839	vbar	1.619	1.500	19
S001	0.3262	103.087	2	1	100.751	hbar	1.451	1.500	20
S001	0.3882	106.688	2	1	104.226	vbar	1.493	1.500	21
S001	0.4181	110.457	2	1	107.737	vbar	1.758	1.500	22
S001	0.4884	116.068	2	1	113.386	hbar	1.614	1.500	23
S001	0.5589	127.353	3	1	125.000	vbar	1.216	1.500	24
S001	0.4962	130.657	3	1	128.393	vbar	1.219	1.500	25
S001	0.5535	135.157	3	1	132.808	vbar	1.260	1.500	26
S001	0.3346	140.366	3	1	137.547	vbar	1.959	1.500	27
S001	0.3262	144.426	3	1	141.753	vbar	1.766	1.500	28
S001	0.4453	148.015	3	1	145.603	hbar	1.395	1.500	29
S001	0.6042	152.094	3	1	149.910	hbar	1.025	1.500	30
S001	0.4808	156.030	3	1	153.177	hbar	1.823	1.500	31
