subject	rt	changetime	blocknum	success	speed_success	acc_success	onset	crossbar	duration	rt_deadline	trialnum
S001	0.6502	11.043	0	0	0	1	8.917	vbar	1.532	0.250	0
S001	0.4335	15.058	0	0	0	1	13.320	hbar	1.166	0.250	1
S001	0.5643	20.511	0	0	0	1	18.695	vbar	1.285	0.250	2
S001	0.3255	25.817	0	0	0	1	23.948	hbar	1.346	0.250	3
S001	0.0435	29.599	0	0	1	0	27.510	hbar	1.558	0.250	4
S001	0.2600	34.683	0	0	0	1	31.454	vbar	2.714	0.250	5
S001	0.6419	38.018	0	0	0	1	36.278	hbar	1.213	0.250	6
S001	0.3769	41.467	0	0	0	0	39.891	hbar	1.058	0.250	7
S001	0.2600	45.534	0	0	0	1	43.811	hbar	1.189	0.250	8
S001	0.5933	70.353	1	1	1	1	68.667	vbar	1.159	0.900	9
S001	0.4253	73.604	1	0	1	0	71.999	vbar	1.070	0.900	10
S001	0.6601	78.737	1	1	1	1	77.056	hbar	1.156	0.900	11
S001	0.4600	82.287	1	0	1	0	80.240	vbar	1.520	0.900	12
S001	0.3563	87.175	1	0	1	0	84.676	vbar	1.974	0.900	13
S001	0.4767	91.738	1	1	1	1	89.625	vbar	1.597	0.900	14
S001	0.4934	96.288	1	1	1	1	93.494	vbar	2.268	0.900	15
S001	0.4398	99.725	1	1	1	1	98.193	vbar	1.015	0.900	16
S001	0.5933	105.522	1	1	1	1	101.522	hbar	3.478	0.900	17
