subject	rt	changetime	blocknum	success	speed_success	acc_success	onset	crossbar	duration	rt_deadline	trialnum
S001	0.4168	9.246	0	1	1	1	5.000	vbar	1.656	1.500	0
S001	0.3304	11.516	0	0	1	0	9.873	vbar	1.128	1.500	1
S001	0.4668	14.927	0	1	1	1	13.041	hbar	1.302	1.500	2
S001	0.4766	18.301	0	1	1	1	16.719	hbar	1.052	1.500	3
S001	0.3729	22.139	0	1	1	1	20.309	vbar	1.316	1.500	4
S001	0.3766	27.252	0	0	1	0	25.683	vbar	1.043	1.500	5
S001	0.3766	31.603	0	1	1	1	29.151	vbar	1.925	1.500	6
S001	0.4565	35.523	0	1	1	1	33.951	hbar	1.049	1.500	7
S001	0.6732	47.408	1	1	1	1	45.000	vbar	1.870	1.500	8
S001	0.5267	50.472	1	0	1	0	48.929	vbar	1.020	1.500	9
S001	0.4433	54.772	1	1	1	1	52.459	vbar	1.788	1.500	10
S001	0.5397	60.310	1	0	1	0	57.057	hbar	2.718	1.500	11
S001	0.6934	64.323	1	1	1	1	61.991	vbar	1.815	1.500	12
S001	0.5933	67.374	1	1	1	1	65.826	hbar	1.021	1.500	13
S001	0.4565	71.861	1	1	1	1	69.363	vbar	1.976	1.500	14
S001	0.3600	75.524	1	1	1	1	73.788	vbar	1.212	1.500	15
S001	0.5269	86.876	2	1	1	1	85.000	vbar	1.353	1.500	16
S001	0.5266	90.576	2	0	1	0	88.882	hbar	1.175	1.500	17
S001	0.3414	95.095	2	0	1	0	93.479	vbar	1.098	1.500	18
S001	0.4268	99.127	2	1	1	1	96.759	vbar	1.844	1.500	19
S001	0.3933	102.811	2	0	1	0	100.987	hbar	1.316	1.500	20
S001	0.5434	106.012	2	1	1	1	104.456	vbar	1.022	1.500	21
S001	0.5563	109.866	2	0	1	0	107.570	hbar	1.774	1.500	22
S001	0.3766	115.513	2	1	1	1	112.884	hbar	2.116	1.500	23
S001	0.6267	127.048	3	1	1	1	125.000	vbar	1.525	1.500	24
S001	0.7933	130.915	3	1	1	1	129.379	vbar	1.008	1.500	25
S001	0.7730	135.319	3	1	1	1	133.194	hbar	1.597	1.500	26
S001	0.6267	139.033	3	1	1	1	137.131	vbar	1.382	1.500	27
S001	0.4260	144.201	3	1	1	1	140.894	vbar	2.767	1.500	28
S001	0.5769	148.634	3	0	1	0	146.887	hbar	1.225	1.500	29
S001	0.6433	151.801	3	0	1	0	150.156	hbar	1.121	1.500	30
S001	0.6599	155.518	3	1	1	1	153.301	vbar	1.699	1.500	31
